# task_name, task_description, image_path, sound_path
EE_L,Elbow extension left,,
R_R,Reach right,,
R_L,Reach left,,
WE_R,Wrist extension right,,
R_R,Reach right,,
R_L,Reach left,,
R_R,Reach right,,
EE_L,Elbow extension left,,
R_R,Reach right,,
R_L,Reach left,,
R_R,Reach right,,
WE_L,Wrist extension left,,
R_R,Reach right,,
EE_R,Elbow extension right,,
WE_R,Wrist extension right,,
R_R,Reach right,,
WE_R,Wrist extension right,,
R_L,Reach left,,
EE_L,Elbow extension left,,
EE_L,Elbow extension left,,
EE_R,Elbow extension right,,
WE_L,Wrist extension left,,
R_R,Reach right,,
EE_R,Elbow extension right,,
EE_L,Elbow extension left,,
EE_L,Elbow extension left,,
EE_R,Elbow extension right,,
R_L,Reach left,,
WE_R,Wrist extension right,,
EE_L,Elbow extension left,,
R_L,Reach left,,
WE_R,Wrist extension right,,
WE_L,Wrist extension left,,
EE_R,Elbow extension right,,
R_L,Reach left,,
WE_L,Wrist extension left,,
WE_R,Wrist extension right,,
WE_L,Wrist extension left,,
WE_R,Wrist extension right,,
WE_L,Wrist extension left,,
EE_L,Elbow extension left,,
R_L,Reach left,,
R_L,Reach left,,
EE_R,Elbow extension right,,
R_R,Reach right,,
EE_L,Elbow extension left,,
WE_L,Wrist extension left,,
EE_R,Elbow extension right,,
WE_R,Wrist extension right,,
R_R,Reach right,,
EE_R,Elbow extension right,,
WE_L,Wrist extension left,,
EE_R,Elbow extension right,,
EE_L,Elbow extension left,,
R_R,Reach right,,
R_L,Reach left,,
R_L,Reach left,,
R_R,Reach right,,
R_L,Reach left,,
EE_R,Elbow extension right,,
R_L,Reach left,,
WE_R,Wrist extension right,,
EE_R,Elbow extension right,,
R_R,Reach right,,
WE_R,Wrist extension right,,
EE_L,Elbow extension left,,
WE_L,Wrist extension left,,
WE_R,Wrist extension right,,
WE_L,Wrist extension left,,
R_R,Reach right,,
EE_R,Elbow extension right,,
EE_R,Elbow extension right,,
WE_L,Wrist extension left,,
R_L,Reach left,,
R_R,Reach right,,
R_L,Reach left,,
EE_L,Elbow extension left,,
WE_L,Wrist extension left,,
EE_L,Elbow extension left,,
R_R,Reach right,,
EE_L,Elbow extension left,,
WE_R,Wrist extension right,,
R_L,Reach left,,
R_L,Reach left,,
R_L,Reach left,,
WE_R,Wrist extension right,,
R_L,Reach left,,
R_R,Reach right,,
WE_R,Wrist extension right,,
EE_L,Elbow extension left,,
R_L,Reach left,,
R_L,Reach left,,
EE_L,Elbow extension left,,
R_R,Reach right,,
R_L,Reach left,,
EE_R,Elbow extension right,,
WE_L,Wrist extension left,,
WE_R,Wrist extension right,,
R_R,Reach right,,
EE_R,Elbow extension right,,
R_L,Reach left,,
EE_L,Elbow extension left,,
WE_L,Wrist extension left,,
WE_R,Wrist extension right,,
WE_L,Wrist extension left,,
EE_L,Elbow extension left,,
EE_L,Elbow extension left,,
R_L,Reach left,,
WE_L,Wrist extension left,,
WE_L,Wrist extension left,,
R_L,Reach left,,
WE_L,Wrist extension left,,
EE_L,Elbow extension left,,
EE_R,Elbow extension right,,
EE_L,Elbow extension left,,
WE_L,Wrist extension left,,
EE_R,Elbow extension right,,
WE_L,Wrist extension left,,
WE_R,Wrist extension right,,
WE_R,Wrist extension right,,
R_L,Reach left,,
EE_R,Elbow extension right,,
WE_R,Wrist extension right,,
EE_L,Elbow extension left,,
WE_L,Wrist extension left,,
R_R,Reach right,,
R_L,Reach left,,
WE_R,Wrist extension right,,
EE_R,Elbow extension right,,
WE_L,Wrist extension left,,
R_R,Reach right,,
EE_R,Elbow extension right,,
EE_R,Elbow extension right,,
R_L,Reach left,,
EE_L,Elbow extension left,,
WE_L,Wrist extension left,,
EE_L,Elbow extension left,,
WE_R,Wrist extension right,,
WE_L,Wrist extension left,,
EE_R,Elbow extension right,,
EE_R,Elbow extension right,,
EE_R,Elbow extension right,,
R_R,Reach right,,
EE_L,Elbow extension left,,
EE_R,Elbow extension right,,
EE_R,Elbow extension right,,
R_R,Reach right,,
EE_L,Elbow extension left,,
WE_L,Wrist extension left,,
WE_R,Wrist extension right,,
WE_R,Wrist extension right,,
WE_R,Wrist extension right,,
WE_L,Wrist extension left,,
WE_L,Wrist extension left,,
R_R,Reach right,,
EE_R,Elbow extension right,,
EE_R,Elbow extension right,,
R_R,Reach right,,
WE_L,Wrist extension left,,
R_R,Reach right,,
R_R,Reach right,,
WE_R,Wrist extension right,,
EE_L,Elbow extension left,,
WE_R,Wrist extension right,,
EE_L,Elbow extension left,,
EE_R,Elbow extension right,,
EE_L,Elbow extension left,,
R_L,Reach left,,
WE_R,Wrist extension right,,
EE_R,Elbow extension right,,
R_L,Reach left,,
R_R,Reach right,,
R_R,Reach right,,
WE_R,Wrist extension right,,
R_R,Reach right,,
WE_L,Wrist extension left,,
EE_L,Elbow extension left,,
WE_L,Wrist extension left,,
WE_R,Wrist extension right,,
WE_R,Wrist extension right,,
