# task_name, task_description, image_path, sound_path
WE_R,wrist execution right,C:/uw_ebionics_mrcp_online_interface_python/package/views/icon/right_hand.jpg,
WE_L,wrist execution left,C:/uw_ebionics_mrcp_online_interface_python/package/views/icon/left_hand.jpg,
WE_L,wrist execution left,C:/uw_ebionics_mrcp_online_interface_python/package/views/icon/left_hand.jpg,
WE_R,wrist execution right,C:/uw_ebionics_mrcp_online_interface_python/package/views/icon/right_hand.jpg,
WE_R,wrist execution right,C:/uw_ebionics_mrcp_online_interface_python/package/views/icon/right_hand.jpg,
WE_L,wrist execution left,C:/uw_ebionics_mrcp_online_interface_python/package/views/icon/left_hand.jpg,
WE_R,wrist execution right,C:/uw_ebionics_mrcp_online_interface_python/package/views/icon/right_hand.jpg,
WE_R,wrist execution right,C:/uw_ebionics_mrcp_online_interface_python/package/views/icon/right_hand.jpg,
WE_L,wrist execution left,C:/uw_ebionics_mrcp_online_interface_python/package/views/icon/left_hand.jpg,
WE_L,wrist execution left,C:/uw_ebionics_mrcp_online_interface_python/package/views/icon/left_hand.jpg,
